============================================================================================================
Arguments =
	approach: eeil
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_eeil_result10t
	save_models: False
	seed: 12345
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2.0
	lamb: 1.0
	lr_finetuning_factor: 0.01
	nepochs_finetuning: 40
	noise_grad: False
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 50
============================================================================================================
WARNING: ../miniimagenet_eeil_result10t/miniimagenet_eeil already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=2.180, TAw acc= 26.0% | *
| Epoch   2, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=2.045, TAw acc= 25.2% | *
| Epoch   3, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.903, TAw acc= 31.8% | *
| Epoch   4, time=  1.2s | Train: skip eval | Valid: time=  0.8s loss=1.923, TAw acc= 27.6% |
| Epoch   5, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.893, TAw acc= 33.8% | *
| Epoch   6, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.753, TAw acc= 35.8% | *
| Epoch   7, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=1.883, TAw acc= 33.8% |
| Epoch   8, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.960, TAw acc= 37.2% |
| Epoch   9, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.694, TAw acc= 43.4% | *
| Epoch  10, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.606, TAw acc= 45.8% | *
| Epoch  11, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.708, TAw acc= 40.8% |
| Epoch  12, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.607, TAw acc= 43.4% |
| Epoch  13, time=  1.6s | Train: skip eval | Valid: time=  0.7s loss=1.608, TAw acc= 44.6% |
| Epoch  14, time=  1.6s | Train: skip eval | Valid: time=  0.7s loss=1.526, TAw acc= 48.6% | *
| Epoch  15, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.504, TAw acc= 49.2% | *
| Epoch  16, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.500, TAw acc= 48.2% | *
| Epoch  17, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.485, TAw acc= 48.4% | *
| Epoch  18, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.532, TAw acc= 47.6% |
| Epoch  19, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.467, TAw acc= 49.4% | *
| Epoch  20, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.466, TAw acc= 52.8% | *
| Epoch  21, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.391, TAw acc= 53.2% | *
