============================================================================================================
Arguments =
	approach: finetuning
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_finetuning_result10t
	save_models: False
	seed: 2
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	all_outputs: False
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../miniimagenet_finetuning_result10t/miniimagenet_finetuning already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=3.820, TAw acc= 16.0% | *
| Epoch   2, time=  1.4s | Train: skip eval | Valid: time=  1.6s loss=5.687, TAw acc= 24.4% |
| Epoch   3, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=2.352, TAw acc= 27.4% | *
| Epoch   4, time=  1.5s | Train: skip eval | Valid: time=  0.7s loss=2.200, TAw acc= 29.0% | *
| Epoch   5, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.923, TAw acc= 27.4% | *
| Epoch   6, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.886, TAw acc= 34.0% | *
| Epoch   7, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.774, TAw acc= 39.8% | *
| Epoch   8, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.813, TAw acc= 39.8% |
| Epoch   9, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.955, TAw acc= 37.4% |
| Epoch  10, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.886, TAw acc= 41.0% |
| Epoch  11, time=  1.3s | Train: skip eval | Valid: time=  0.8s loss=1.947, TAw acc= 37.4% |
| Epoch  12, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.726, TAw acc= 40.0% | *
