============================================================================================================
Arguments =
	approach: lwf
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_lwf_result10t
	save_models: False
	seed: 2
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../miniimagenet_lwf_result10t/miniimagenet_lwf already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
Start task : 0
Exemplar dataset : 0
| Epoch   1, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=3.820, TAw acc= 16.0% | *
| Epoch   2, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=5.687, TAw acc= 24.4% |
| Epoch   3, time=  1.2s | Train: skip eval | Valid: time=  0.5s loss=2.352, TAw acc= 27.4% | *
| Epoch   4, time=  1.5s | Train: skip eval | Valid: time=  0.4s loss=2.200, TAw acc= 29.0% | *
| Epoch   5, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.923, TAw acc= 27.4% | *
| Epoch   6, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=1.886, TAw acc= 34.0% | *
| Epoch   7, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.774, TAw acc= 39.8% | *
| Epoch   8, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.813, TAw acc= 39.8% |
| Epoch   9, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.955, TAw acc= 37.4% |
| Epoch  10, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.886, TAw acc= 41.0% |
| Epoch  11, time=  1.3s | Train: skip eval | Valid: time=  1.1s loss=1.947, TAw acc= 37.4% |
| Epoch  12, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.726, TAw acc= 40.0% | *
| Epoch  13, time=  1.4s | Train: skip eval | Valid: time=  0.9s loss=1.748, TAw acc= 38.8% |
| Epoch  14, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.722, TAw acc= 43.0% | *
| Epoch  15, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.671, TAw acc= 42.2% | *
| Epoch  16, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.714, TAw acc= 41.2% |
| Epoch  17, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.712, TAw acc= 40.8% |
| Epoch  18, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.649, TAw acc= 44.6% | *
| Epoch  19, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.623, TAw acc= 44.6% | *
| Epoch  20, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.559, TAw acc= 47.2% | *
| Epoch  21, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.612, TAw acc= 45.4% |
| Epoch  22, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.660, TAw acc= 43.0% |
| Epoch  23, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.572, TAw acc= 45.8% |
| Epoch  24, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.588, TAw acc= 43.4% |
| Epoch  25, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.547, TAw acc= 48.0% | *
| Epoch  26, time=  1.5s | Train: skip eval | Valid: time=  0.8s loss=1.539, TAw acc= 45.4% | *
| Epoch  27, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.633, TAw acc= 41.4% |
| Epoch  28, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.464, TAw acc= 50.0% | *
| Epoch  29, time=  1.3s | Train: skip eval | Valid: time=  0.8s loss=1.507, TAw acc= 49.8% |
| Epoch  30, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.538, TAw acc= 48.0% |
| Epoch  31, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.453, TAw acc= 50.6% | *
| Epoch  32, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.617, TAw acc= 46.4% |
| Epoch  33, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.618, TAw acc= 45.2% |
| Epoch  34, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.591, TAw acc= 46.4% |
| Epoch  35, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.610, TAw acc= 47.0% |
| Epoch  36, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.529, TAw acc= 50.4% | lr=5.0e-02
| Epoch  37, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.511, TAw acc= 49.2% |
| Epoch  38, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.695, TAw acc= 42.6% |
| Epoch  39, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.511, TAw acc= 49.4% |
| Epoch  40, time=  1.4s | Train: skip eval | Valid: time=  0.8s loss=1.527, TAw acc= 49.8% |
